1E-05 1,25E-11 2,5E-06
0,0914606589531828 0,00104452865453153 0,0228251511833906
0,0934403946039365 0,00109020401196342 0,0233177946730497
0,0954547538506186 0,00113767913004737 0,0238189601755785
0,0975042074901238 0,00118701732624467 0,0243287578222798
0,0995892314311723 0,0012382838912095 0,0248472986204072
0,101710306765538 0,00129154614329322 0,0253746944511123
0,103867919841582 0,00134687348442809 0,0259110580670541
0,10606256234018 0,00140433745742675 0,0264565030896533
0,10829473135316 0,00146401180473465 0,0270111440059772
0,110564929464329 0,00152597252867402 0,0275750961652343
0,112873664833224 0,0015902979532193 0,0281484757748638
0,115221451281671 0,00165706878734528 0,0287313998961974
0,117608808383299 0,00172636818999086 0,0293239864396774
0,120036261556107 0,0017982818366823 0,0299263541596062
0,122504342158219 0,00187289798786204 0,0305386226484067
0,125013587586969 0,00195030755897053 0,0311609123303724
0,127564541381438 0,00203060419233004 0,0317933444548801
0,130157753328594 0,00211388433088162 0,0324360410890416
0,132793779573191 0,00220024729382795 0,0330891251097675
0,135473182731568 0,00228979535423708 0,0337527201952157
0,138196532009534 0,00238263381866393 0,034426950815597
0,140964403324478 0,0024788711088484 0,0351119422233017
0,143777379431913 0,00257861884555206 0,0358078204423241
0,146636050056612 0,00268199193459625 0,036514712256941
0,149541012028551 0,00278910865516928 0,037232745199621
0,15249286942384 0,00290009075046994 0,0379620475381143
0,155492233710874 0,00301506352076051 0,0387027482616967
0,158539723901895 0,00313415591890281 0,0394549770665177
0,161635966710223 0,00325750064845536 0,0402188643400146
0,164781596713378 0,00338523426441263 0,0409945411443484
0,167977256522345 0,00351749727666995 0,0417821391988103
0,171223596957243 0,00365443425630201 0,0425817908611504
0,174521277229675 0,0037961939447467 0,0433936291077801
0,177870965132035 0,00394292936598899 0,0442177875127875
0,181273337234084 0,00409479794184455 0,045054400225712
0,184729079087092 0,00425196161044654 0,0459036019480149
0,188238885435873 0,00441458694804367 0,0467655279081816
0,191803460439067 0,00458284529422296 0,0476403138353909
0,195423517898015 0,00475691288067446 0,0485280959316758
0,199099781494598 0,00493697096362115 0,0494290108425016
0,20283298503843 0,00512320596004302 0,0503431956256843
0,206623872723835 0,00531580958782982 0,0512707877185627
0,210473199397005 0,00551497901000265 0,0522119249033367
0,214381730833818 0,00572091698315229 0,0531667452704801
0,218350244028756 0,00593383201024697 0,0541353871801242
