101 	 -0,25 	 2
103 	 -0,3 	 2
103,360836083608 0,0192782223177745
103,366636663666 0,0192880961355825
103,372437243724 0,0192979775356219
103,378237823782 0,0193078665256524
103,38403840384 0,0193177631134436
103,389838983898 0,0193276673067754
103,395639563956 0,0193375791134371
103,401440144014 0,0193474985412285
103,407240724072 0,0193574255979591
103,41304130413 0,0193673602914483
103,418841884188 0,0193773026295257
103,424642464246 0,019387252620031
103,430443044304 0,0193972102708137
103,436243624362 0,0194071755897336
103,44204420442 0,0194171485846604
103,447844784478 0,019427129263474
103,453645364536 0,0194371176340643
103,459445944594 0,0194471137043314
103,465246524652 0,0194571174821855
103,47104710471 0,0194671289755471
103,476847684768 0,0194771481923467
103,482648264826 0,0194871751405249
103,488448844884 0,0194972098280328
103,494249424942 0,0195072522628315
103,500050005001 0,0195173024528923
103,505850585059 0,0195273604061969
103,511651165117 0,0195374261307372
103,517451745175 0,0195474996345153
103,523252325233 0,0195575809255437
103,529052905291 0,0195676700118452
103,534853485349 0,019577766901453
103,540654065407 0,0195878716024103
103,546454645465 0,0195979841227711
103,552255225523 0,0196081044705995
103,558055805581 0,0196182326539701
103,563856385639 0,0196283686809679
103,569656965697 0,0196385125596882
103,575457545755 0,019648664298237
103,581258125813 0,0196588239047305
103,587058705871 0,0196689913872954
103,592859285929 0,0196791667540691
103,598659865987 0,0196893500131992
103,604460446045 0,0196995411728441
103,610261026103 0,0197097402411726
103,616061606161 0,019719947226364
103,621862186219 0,0197301621366084
103,627662766277 0,0197403849801061
103,633463346335 0,0197506157650683
103,639263926393 0,0197608544997169
103,645064506451 0,0197711011922841
103,650865086509 0,0197813558510129
103,656665666567 0,0197916184841571
103,662466246625 0,0198018890999811
103,668266826683 0,01981216770676
103,674067406741 0,0198224543127795
103,679867986799 0,0198327489263361
103,685668566857 0,0198430515557373
103,691469146915 0,0198533622093009
103,697269726973 0,0198636808953558
103,703070307031 0,0198740076222418
103,708870887089 0,0198843423983093
103,714671467147 0,0198946852319194
103,720472047205 0,0199050361314445
103,726272627263 0,0199153951052674
103,732073207321 0,0199257621617821
103,737873787379 0,0199361373093934
103,743674367437 0,0199465205565171
103,749474947495 0,0199569119115797
103,755275527553 0,0199673113830188
103,761076107611 0,0199777189792832
103,766876687669 0,0199881347088322
103,772677267727 0,0199985585801365
103,778477847785 0,0200089906016778
103,784278427843 0,0200194307819485
103,790079007901 0,0200298791294525
103,795879587959 0,0200403356527044
103,801680168017 0,0200508003602302
103,807480748075 0,0200612732605668
103,813281328133 0,0200717543622622
103,819081908191 0,0200822436738758
103,824882488249 0,0200927412039779
103,830683068307 0,02010324696115
103,836483648365 0,020113760953985
103,842284228423 0,0201242831910869
103,848084808481 0,0201348136810707
103,853885388539 0,0201453524325631
103,859685968597 0,0201558994542016
103,865486548655 0,0201664547546354
103,871287128713 0,0201770183425247
103,877087708771 0,0201875902265412
103,882888288829 0,0201981704153677
103,888688868887 0,0202087589176987
103,894489448945 0,0202193557422399
103,900290029003 0,0202299608977082
103,906090609061 0,0202405743928322
103,911891189119 0,0202511962363519
103,917691769177 0,0202618264370184
103,923492349235 0,0202724650035947
103,929292929293 0,0202831119448552
103,935093509351 0,0202937672695855
103,940894089409 0,0203044309865829
103,946694669467 0,0203151031046564
103,952495249525 0,0203257836326263
103,958295829583 0,0203364725793246
103,964096409641 0,0203471699535948
103,969896989699 0,0203578757642921
103,975697569757 0,0203685900202834
103,981498149815 0,0203793127304469
103,987298729873 0,0203900439036728
103,993099309931 0,020400783548863
103,998899889989 0,0204115316749307
104,004700470047 0,0204222882908013
104,010501050105 0,0204330534054117
104,016301630163 0,0204438270277104
104,022102210221 0,0204546091666581
104,027902790279 0,0204653998312269
104,033703370337 0,0204761990304008
104,039503950395 0,0204870067731758
104,045304530453 0,0204978230685595
104,051105110511 0,0205086479255716
104,056905690569 0,0205194813532435
104,062706270627 0,0205303233606186
104,068506850685 0,0205411739567521
104,074307430743 0,0205520331507114
104,080108010801 0,0205629009515756
104,085908590859 0,0205737773684359
104,091709170917 0,0205846624103955
104,097509750975 0,0205955560865695
104,103310331033 0,0206064584060852
104,109110911091 0,0206173693780819
104,114911491149 0,0206282890117109
104,120712071207 0,0206392173161356
104,126512651265 0,0206501543005316
104,132313231323 0,0206610999740867
104,138113811381 0,0206720543460005
104,143914391439 0,0206830174254853
104,149714971497 0,020693989221765
104,155515551555 0,0207049697440762
104,161316131613 0,0207159590016675
104,167116711671 0,0207269570037997
104,172917291729 0,020737963759746
104,178717871787 0,0207489792787919
104,184518451845 0,020760003570235
104,190319031903 0,0207710366433855
104,196119611961 0,0207820785075657
104,201920192019 0,0207931291721104
104,207720772077 0,0208041886463667
104,213521352135 0,0208152569396943
104,219321932193 0,0208263340614651
104,225122512251 0,0208374200210635
104,230923092309 0,0208485148278864
104,236723672367 0,0208596184913432
104,242524252425 0,0208707310208558
104,248324832483 0,0208818524258585
104,254125412541 0,0208929827157983
104,259925992599 0,0209041219001348
104,265726572657 0,0209152699883398
104,271527152715 0,0209264269898983
104,277327732773 0,0209375929143074
104,283128312831 0,0209487677710772
104,288928892889 0,0209599515697301
104,294729472947 0,0209711443198017
104,300530053005 0,0209823460308397
104,306330633063 0,0209935567124051
104,312131213121 0,0210047763740712
104,317931793179 0,0210160050254242
104,323732373237 0,0210272426760632
104,329532953295 0,0210384893356001
104,335333533353 0,0210497450136595
104,341134113411 0,0210610097198788
104,346934693469 0,0210722834639084
104,352735273527 0,0210835662554116
104,358535853585 0,0210948581040646
104,364336433643 0,0211061590195564
104,370137013701 0,0211174690115891
104,375937593759 0,0211287880898777
104,381738173817 0,0211401162641502
104,387538753875 0,0211514535441476
104,393339333933 0,0211627999396239
104,399139913991 0,0211741554603463
104,404940494049 0,0211855201160949
104,410741074107 0,021196893916663
104,416541654165 0,021208276871857
104,422342234223 0,0212196689914965
104,428142814281 0,021231070285414
104,433943394339 0,0212424807634555
104,439743974397 0,02125390043548
104,445544554455 0,0212653293113599
104,451345134513 0,0212767674009806
104,457145714571 0,021288214714241
104,462946294629 0,0212996712610531
104,468746874687 0,0213111370513424
104,474547454745 0,0213226120950475
104,480348034803 0,0213340964021205
104,486148614861 0,021345589982527
104,491949194919 0,0213570928462456
104,497749774977 0,0213686050032687
104,503550355036 0,021380126463602
104,509350935094 0,0213916572372646
104,515151515152 0,0214031973342892
104,52095209521 0,0214147467647218
104,526752675268 0,0214263055386222
104,532553255326 0,0214378736660636
104,538353835384 0,0214494511571326
104,544154415442 0,0214610380219298
104,5499549955 0,021472634270569
104,555755575558 0,0214842399131778
104,561556155616 0,0214958549598976
104,567356735674 0,0215074794208833
104,573157315732 0,0215191133063035
104,57895789579 0,0215307566263405
104,584758475848 0,0215424093911905
104,590559055906 0,0215540716110634
104,596359635964 0,0215657432961828
104,602160216022 0,0215774244567861
104,60796079608 0,0215891151031248
104,613761376138 0,0216008152454639
104,619561956196 0,0216125248940825
104,625362536254 0,0216242440592736
104,631163116312 0,0216359727513439
104,63696369637 0,0216477109806144
104,642764276428 0,0216594587574198
104,648564856486 0,0216712160921089
104,654365436544 0,0216829829950444
104,660166016602 0,0216947594766032
104,66596659666 0,0217065455471761
104,671767176718 0,0217183412171682
104,677567756776 0,0217301464969985
104,683368336834 0,0217419613971002
104,689168916892 0,0217537859279206
104,69496949695 0,0217656200999213
104,700770077008 0,021777463923578
104,706570657066 0,0217893174093807
104,712371237124 0,0218011805678335
104,718171817182 0,0218130534094548
104,72397239724 0,0218249359447774
104,729772977298 0,0218368281843485
104,735573557356 0,0218487301387293
104,741374137414 0,0218606418184956
104,747174717472 0,0218725632342376
104,75297529753 0,0218844943965598
104,758775877588 0,0218964353160812
104,764576457646 0,0219083860034351
104,770377037704 0,0219203464692696
104,776177617762 0,021932316724247
104,78197819782 0,0219442967790443
104,787778777878 0,0219562866443529
104,793579357936 0,0219682863308789
104,799379937994 0,0219802958493429
104,805180518052 0,0219923152104802
104,81098109811 0,0220043444250407
104,816781678168 0,0220163835037891
104,822582258226 0,0220284324575045
104,828382838284 0,0220404912969809
104,834183418342 0,0220525600330272
104,8399839984 0,0220646386764667
104,845784578458 0,0220767272381379
104,851585158516 0,0220888257288936
104,857385738574 0,022100934159602
104,863186318632 0,0221130525411457
104,86898689869 0,0221251808844226
104,874787478748 0,0221373192003451
104,880588058806 0,0221494674998407
104,886388638864 0,0221616257938521
104,892189218922 0,0221737940933365
104,89798979898 0,0221859724092666
104,903790379038 0,0221981607526298
104,909590959096 0,0222103591344287
